ID_Lead,Vendedor que atendeu,Data do Lead,Data da Conversão,Receita Possível,Receita Gerada,Receita Perdida,Data da Perda,Motivo da Perda,STATUS DO LEAD,Tempo até Conversão (Dias)
1501,Vendedor D,2022-09-01 00:00:00,2022-09-01 00:00:00,14955,14955.0,,,,Convertido,1.0
1500,Vendedor E,2022-09-01 00:00:00,2022-09-08 00:00:00,13459.5,13459.5,,,,Convertido,7.0
1502,Vendedor D,2022-09-02 00:00:00,2022-09-02 00:00:00,14955,14955.0,,,,Convertido,0.0
1503,Vendedor A,2022-09-03 00:00:00,2022-09-03 00:00:00,14955,14955.0,,,,Convertido,0.0
1506,Vendedor B,2022-09-03 00:00:00,2022-09-09 00:00:00,14955,14955.0,,,,Convertido,6.0
1504,Vendedor B,2022-09-03 00:00:00,,20205,,20205.0,2022-11-09 00:00:00,Outros,Perdido,
1505,Vendedor E,2022-09-03 00:00:00,,14955,,14955.0,2022-09-09 00:00:00,Não tem interesse,Perdido,
1507,Vendedor E,2022-09-04 00:00:00,2022-09-04 00:00:00,14955,14955.0,,,,Convertido,0.0
1510,Vendedor B,2022-09-04 00:00:00,2023-01-05 00:00:00,19200,19200.0,,,,Convertido,123.0
1508,Vendedor D,2022-09-04 00:00:00,,14955,,14955.0,2022-09-05 00:00:00,Outros,Perdido,
1509,Vendedor A,2022-09-04 00:00:00,,22455,,22455.0,2023-03-23 00:00:00,Não retornou contato,Perdido,
1512,Vendedor C,2022-09-05 00:00:00,2022-09-05 00:00:00,14955,14955.0,,,,Convertido,0.0
1513,Vendedor A,2022-09-05 00:00:00,2022-09-09 00:00:00,14955,14955.0,,,,Convertido,4.0
1511,Vendedor C,2022-09-05 00:00:00,,20205,,20205.0,2022-11-23 00:00:00,Outros,Perdido,
1514,Vendedor C,2022-09-05 00:00:00,,13455,,13455.0,2022-09-15 00:00:00,Não retornou contato,Perdido,
1518,Vendedor A,2022-09-06 00:00:00,2022-09-06 00:00:00,=Média(Tabela6[Data da Conversão]-('CRM'!C2159,14955.0,,,,Convertido,0.0
1517,Vendedor C,2022-09-06 00:00:00,2022-11-25 00:00:00,17964,17964.0,,,,Convertido,80.0
1515,Vendedor B,2022-09-06 00:00:00,,14955,,14955.0,2022-09-06 00:00:00,Outros,Perdido,
1516,Vendedor D,2022-09-06 00:00:00,,20205,,20205.0,2023-02-27 00:00:00,Não retornou contato,Perdido,
1519,Vendedor C,2022-09-06 00:00:00,,20205,,20205.0,2022-11-10 00:00:00,Não retornou contato,Perdido,
1520,Vendedor A,2022-09-06 00:00:00,,13455,,13455.0,2022-09-21 00:00:00,Não tem interesse,Perdido,
1522,Vendedor D,2022-09-07 00:00:00,2022-09-21 00:00:00,13459.5,13459.5,,,,Convertido,14.0
1521,Vendedor D,2022-09-07 00:00:00,,20205,,20205.0,2022-11-03 00:00:00,Não retornou contato,Perdido,
1523,Vendedor D,2022-09-08 00:00:00,2022-09-12 00:00:00,14955,14955.0,,,,Convertido,4.0
1524,Vendedor D,2022-09-09 00:00:00,2022-09-09 00:00:00,14955,14955.0,,,,Convertido,0.0
1525,Vendedor B,2022-09-10 00:00:00,2022-09-10 00:00:00,14955,14955.0,,,,Convertido,0.0
1526,Vendedor C,2022-09-10 00:00:00,2022-09-10 00:00:00,14955,14955.0,,,,Convertido,0.0
1527,Vendedor A,2022-09-10 00:00:00,2022-09-11 00:00:00,14955,14955.0,,,,Convertido,1.0
1528,Vendedor C,2022-09-10 00:00:00,2022-09-14 00:00:00,13459.5,13459.5,,,,Convertido,4.0
1530,Vendedor A,2022-09-11 00:00:00,2022-09-11 00:00:00,14955,14955.0,,,,Convertido,0.0
1529,Vendedor A,2022-09-11 00:00:00,,14955,,14955.0,2022-09-12 00:00:00,Não tem interesse,Perdido,
1531,Vendedor E,2022-09-12 00:00:00,2022-09-26 00:00:00,14955,14955.0,,,,Convertido,14.0
1532,Vendedor D,2022-09-13 00:00:00,2022-09-30 00:00:00,13459.5,13459.5,,,,Convertido,17.0
1533,Vendedor D,2022-09-13 00:00:00,2022-10-04 00:00:00,13459.5,13459.5,,,,Convertido,21.0
1534,Vendedor B,2022-09-14 00:00:00,2022-11-30 00:00:00,20205,20205.0,,,,Convertido,77.0
1535,Vendedor E,2022-09-15 00:00:00,2022-09-15 00:00:00,13459.5,13459.5,,,,Convertido,0.0
1536,Vendedor E,2022-09-15 00:00:00,2022-09-30 00:00:00,13459.5,13459.5,,,,Convertido,15.0
1537,Vendedor E,2022-09-17 00:00:00,2022-09-20 00:00:00,13459.5,13459.5,,,,Convertido,3.0
1540,Vendedor A,2022-09-18 00:00:00,2022-09-18 00:00:00,14955,14955.0,,,,Convertido,0.0
1539,Vendedor A,2022-09-18 00:00:00,2022-09-18 00:00:00,13459.199999999999,13459.2,,,,Convertido,0.0
1538,Vendedor B,2022-09-18 00:00:00,2022-09-30 00:00:00,13459.5,13459.5,,,,Convertido,12.0
1542,Vendedor B,2022-09-19 00:00:00,2022-09-20 00:00:00,13459.5,13459.5,,,,Convertido,1.0
1541,Vendedor E,2022-09-19 00:00:00,2022-09-23 00:00:00,13459.5,13459.5,,,,Convertido,4.0
1543,Vendedor C,2022-09-19 00:00:00,2022-09-26 00:00:00,13459.5,13459.5,,,,Convertido,7.0
1548,Vendedor A,2022-09-20 00:00:00,2022-09-21 00:00:00,13459.5,13459.5,,,,Convertido,1.0
1544,Vendedor C,2022-09-20 00:00:00,2022-09-30 00:00:00,13459.5,13459.5,,,,Convertido,10.0
1545,Vendedor E,2022-09-20 00:00:00,2022-10-01 00:00:00,13459.5,13459.5,,,,Convertido,11.0
1546,Vendedor D,2022-09-20 00:00:00,,20205,,20205.0,2023-02-24 00:00:00,Vai deixar para outro momento,Perdido,
1547,Vendedor A,2022-09-20 00:00:00,,14955,,14955.0,2022-10-20 00:00:00,Não tem interesse,Perdido,
1552,Vendedor B,2022-09-21 00:00:00,2022-09-21 00:00:00,14955,14955.0,,,,Convertido,0.0
1549,Vendedor D,2022-09-21 00:00:00,2022-09-21 00:00:00,13459.5,13459.5,,,,Convertido,0.0
1550,Vendedor A,2022-09-21 00:00:00,2022-09-23 00:00:00,13455,13455.0,,,,Convertido,2.0
1551,Vendedor E,2022-09-21 00:00:00,2022-09-30 00:00:00,13459.5,13459.5,,,,Convertido,9.0
1554,Vendedor C,2022-09-22 00:00:00,2022-09-22 00:00:00,13459.5,13459.5,,,,Convertido,0.0
1555,Vendedor E,2022-09-22 00:00:00,2022-09-22 00:00:00,13459.5,13459.5,,,,Convertido,0.0
1557,Vendedor C,2022-09-22 00:00:00,2022-09-26 00:00:00,11964,11964.0,,,,Convertido,4.0
1556,Vendedor B,2022-09-22 00:00:00,2022-09-28 00:00:00,13459.5,13459.5,,,,Convertido,6.0
